Demand,,Amt Stocked,,,,,,
5000,,5000,,,,,,
,,,,,,,,
Costs,Per Unit,Total,,,,,,
Expiration Cost,$50,$0 ,,,,,Inputs,Outputs
Air Freight,$150,$0 ,,,,,Decisions,Formulas
,,,,,,,Certainties,
Overall Cost,,$0 ,,,,,Uncertainties,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Historical Data,,,,,,,,
Month,Demand,Average,,Stocking Levels to Try,,,,
1,10000,5000,,4000,,,,
2,6000,,,5000,,,,
3,10000,,,6000,,,,
4,8000,,,7000,,,,
5,7000,,,8000,,, 
6,5000,,,,,,,
7,5000,,,,,,,
8,5000,,,,,,,
9,3000,,,,,,,
10,2000,,,,,,,
11,6000,,,,,,,
12,5000,,,,,,,
13,6000,,,,,,,
14,3000,,,,,,,
15,5000,,,,,,,
16,4000,,,,,,,
17,5000,,,,,,,
18,4000,,,,,,,
19,4000,,,,,,,
20,3000,,,,,,,
21,3000,,,,,,,
22,3000,,,,,,,
23,4000,,,,,,,
24,3000,,,,,,,
25,8000,,,,,,,
26,3000,,,,,,,
27,5000,,,,,,,
28,2000,,,,,,,
29,4000,,,,,,,
30,5000,,,,,,,
31,7000,,,,,,,
32,6000,,,,,,,
33,7000,,,,,,,
34,8000,,,,,,,
35,1000,,,,,,,
36,5000,,,,,,,
,,,,,,,,
